date,open_price,high_price,low_price,close_price,volume,RSI_14,SMA_20,OBV,ATRr_14,rolling_mean_close_5,target_close
2024-02-26,411.46,412.16,407.36,407.54,16193500.0,54.57717021063621,408.3465,61263700.0,6.821125019906915,406.9,407.48
2024-02-27,407.99,408.32,403.85,407.48,14835800.0,54.5078694982432,408.2345,46427900.0,6.642498758096427,407.838,407.72
2024-02-28,408.18,409.3,405.32,407.72,13183100.0,54.755348642559944,408.19100000000003,59611000.0,6.441131400431878,408.946,413.64
2024-02-29,408.64,414.2,405.92,413.64,31947300.0,60.46809820380967,408.994,91558300.0,6.579624807968176,409.344,415.5
2024-03-01,411.27,415.87,410.88,415.5,17800300.0,62.08779207201898,409.58000000000004,109358600.0,6.460366488938053,410.37600000000003,414.92
2024-03-04,413.44,417.35,412.32,414.92,17596000.0,61.24512411095648,409.76500000000004,91762600.0,6.353440527271088,411.85200000000003,402.65
2024-03-05,413.96,414.25,400.64,402.65,26919200.0,46.780265298845876,409.61499999999995,64843400.0,6.944020393135685,410.8860000000001,402.09
2024-03-06,402.97,405.16,398.39,402.09,22344100.0,46.243454679323534,409.445,42499300.0,6.931094534443249,409.76000000000005,409.14
2024-03-07,406.12,409.78,402.24,409.14,18718500.0,53.48075867226272,409.1995,61217800.0,6.987304235742577,408.86,406.22
2024-03-08,407.96,410.42,404.33,406.22,17971700.0,50.45109461100684,408.805,43246100.0,6.921018656733534,407.004,404.52
2024-03-11,403.76,405.68,401.26,404.52,16120800.0,48.7206383023311,408.0035,27125300.0,6.776507550017893,404.924,415.28
2024-03-12,407.62,415.57,406.79,415.28,22457000.0,58.437748801115056,408.00449999999995,49582300.0,7.090717997145283,407.45,415.1
2024-03-13,418.1,418.18,411.45,415.1,17115900.0,58.238932105774445,408.4435,32466400.0,7.064251541676877,410.052,425.22
2024-03-14,420.24,427.82,417.99,425.22,34157300.0,65.37204242963809,409.23,66623700.0,7.478418101369147,413.26800000000003,416.42
2024-03-15,419.29,422.6,412.79,416.42,45049800.0,56.35746025856527,409.72299999999996,21573900.0,7.840367253489209,415.308,417.32
2024-03-18,414.25,420.73,413.78,417.32,20106000.0,57.01038277651598,410.3860000000001,41679900.0,7.77539192329164,417.86800000000005,421.41
2024-03-19,417.83,421.67,415.55,421.41,19837900.0,59.94325264618698,411.317,61517800.0,7.65477487902096,419.09400000000005,425.23
2024-03-20,422.0,425.96,420.66,425.23,17860100.0,62.515460909754395,412.4695,79377900.0,7.48344438480751,421.12000000000006,429.37
2024-03-21,429.83,430.82,427.16,429.37,21296200.0,65.12893008451398,413.3555,100674100.0,7.345862733301562,421.95,428.74
2024-03-22,429.7,429.86,426.07,428.74,17636500.0,64.39318058482492,414.2755,83037600.0,7.087804590954801,424.41400000000004,422.86
2024-03-25,425.24,427.41,421.61,422.86,18060500.0,57.827063390431334,415.0415,64977100.0,7.090863321545729,425.52200000000005,421.65
2024-03-26,425.61,425.99,421.35,421.65,16725600.0,56.5491898777769,415.75,48251500.0,6.913389402448521,425.57,421.43
2024-03-27,424.44,424.45,419.01,421.43,16705000.0,56.30556030228625,416.43549999999993,31546500.0,6.806802032365482,424.81000000000006,420.72
2024-03-28,420.96,421.87,419.12,420.72,21871200.0,55.47490556969149,416.78950000000003,9675300.0,6.513594130169508,423.08000000000004,424.57
2024-04-01,423.95,427.89,422.22,424.57,16316000.0,59.006503742464126,417.24300000000005,25991300.0,6.560996122608984,422.246,421.44
2024-04-02,420.11,422.38,417.84,421.44,17912000.0,55.174935542954785,417.5690000000001,8079300.0,6.573191061774805,421.962,420.45
2024-04-03,419.73,423.26,419.09,420.45,16502300.0,53.98096701783037,418.459,-8423000.0,6.3999085606790675,421.7219999999999,417.88
2024-04-04,424.99,428.67,417.57,417.88,19370900.0,50.901575690597326,419.24850000000004,-27793900.0,6.738580309999749,421.012,425.52
2024-04-05,420.01,426.51,418.32,425.52,16544300.0,58.483653967199295,420.0675,-11249600.0,6.87478372143132,421.97200000000004,424.59
2024-04-08,425.17,427.28,423.3,424.59,14272400.0,57.32320657078585,420.986,-25522000.0,6.666448240122686,421.97599999999994,426.28
2024-04-09,426.44,427.74,421.62,426.28,12512300.0,58.91844736832013,422.07399999999996,-13009700.0,6.62714201024655,422.94399999999996,423.26
2024-04-10,422.19,424.03,419.7,423.26,16216600.0,54.96457825213812,422.47300000000007,-29226300.0,6.623752768261107,423.506,427.93
2024-04-11,425.82,429.37,422.36,427.93,17966400.0,59.49158242072072,423.1145,-11259900.0,6.6515088170318055,425.51599999999996,421.9
2024-04-12,424.05,425.18,419.77,421.9,19232100.0,52.19571952750689,422.94849999999997,-30492000.0,6.75986341594208,424.79200000000003,413.64
2024-04-15,426.6,426.82,413.43,413.64,20273500.0,44.199481143835634,422.8095,-50765500.0,7.235913709834572,422.602,414.58
2024-04-16,414.57,418.4,413.73,414.58,16765600.0,45.227836535216724,422.6725,-33999900.0,7.058206862223152,420.262,411.84
2024-04-17,417.25,418.88,410.33,411.84,15855500.0,42.754440759165945,422.1940000000001,-49855400.0,7.165242194915797,417.97799999999995,404.27
2024-04-18,410.63,411.89,403.95,404.27,21029900.0,36.77132885324837,421.146,-70885300.0,7.220812807746421,413.246,399.12
2024-04-19,404.03,405.48,397.77,399.12,30276500.0,33.35183617999931,419.6335,-101161800.0,7.255890011398282,408.68999999999994,400.96
2024-04-22,400.08,402.85,395.75,400.96,20286900.0,35.65416869079083,418.24449999999996,-80874900.0,7.244714996565304,406.154,407.57
2024-04-23,404.24,408.2,403.06,407.57,15734500.0,43.23980560199388,417.4799999999999,-65140400.0,7.244377087580721,404.75199999999995,409.06
2024-04-24,409.56,412.47,406.78,409.06,15065300.0,44.81898267584276,416.8505,-50075100.0,7.133006305177021,404.196,399.04
2024-04-25,394.03,399.89,388.03,399.04,40586500.0,37.30284036586012,415.73099999999994,-90661600.0,8.128502683885817,403.15,406.32
2024-04-26,412.17,413.0,405.76,406.32,29694700.0,44.57534992767244,415.01099999999997,-60966900.0,8.546150027930084,404.59000000000003,402.25
2024-04-29,405.25,406.32,399.19,402.25,19582100.0,41.665561660841185,413.895,-80549000.0,8.444745787738064,404.848,389.33
2024-04-30,401.49,402.16,389.17,389.33,28781400.0,34.06382489698403,412.2895,-109330400.0,8.776597101600435,401.2,394.94
2024-05-01,392.61,401.72,390.31,394.94,23562500.0,39.24691713647704,411.014,-85767900.0,9.035248606467457,398.376,397.84
2024-05-02,397.66,399.93,394.65,397.84,17709400.0,41.79405443850024,410.012,-68058500.0,8.766484629263857,398.13599999999997,406.66
2024-05-03,402.28,407.15,401.86,406.66,17446700.0,48.82191785969511,409.06899999999996,-50611800.0,8.805378635753558,398.204,413.54
2024-05-06,408.76,413.93,406.37,413.54,16996600.0,53.53481706766308,408.5165,-33615200.0,8.716270952823454,400.462,409.34
2024-05-07,414.66,414.67,409.09,409.34,20018200.0,50.4787805783117,407.66949999999997,-53633400.0,8.491896044012847,404.46400000000006,410.54
2024-05-08,408.17,412.23,406.71,410.54,11792300.0,51.33358779833441,407.0335,-41841100.0,8.279304936273748,407.584,412.32
2024-05-09,410.57,412.72,409.1,412.32,14689700.0,52.639507579350244,406.25300000000004,-27151400.0,7.946042085852032,410.48,414.74
2024-05-10,412.94,415.38,411.8,414.74,13402300.0,54.4298959063908,405.895,-13749100.0,7.633785759421401,412.096,413.72
2024-05-13,418.01,418.35,410.82,413.72,15440200.0,53.51167107933926,405.899,-29189300.0,7.62636374678351,412.13200000000006,416.56
2024-05-14,412.02,417.49,411.55,416.56,15109300.0,55.75001838650754,405.998,-14080000.0,7.5057772743294,413.576,423.08
2024-05-15,417.9,423.81,417.27,423.08,22239500.0,60.457238170504894,406.56,8159500.0,7.487488890985751,416.084,420.99
2024-05-16,421.8,425.42,420.35,420.99,17530100.0,58.315726497702755,407.396,-9370600.0,7.314648076098408,417.81800000000004,420.21
2024-05-17,422.54,422.92,418.03,420.21,15352200.0,57.497164515548285,408.4505,-24722800.0,7.14130709824971,418.912,425.34
2024-05-20,420.21,426.77,419.99,425.34,16272100.0,61.34067115434095,409.66949999999997,-8450700.0,7.11547844097855,421.236,429.04
2024-05-21,426.83,432.97,424.85,429.04,21453300.0,63.87785700825333,410.74300000000005,13002600.0,7.187284211589932,423.73199999999997,430.52
2024-05-22,430.09,432.41,427.13,430.52,18073700.0,64.87099255159065,411.816,31076300.0,7.050954017300996,425.21999999999997,427.0
2024-05-23,432.97,433.6,425.42,427.0,17211700.0,60.60326513854478,413.21399999999994,13864600.0,7.131652710147618,426.4219999999999,430.16
2024-05-24,427.19,431.06,424.41,430.16,11845800.0,62.95916078628795,414.40599999999995,25710400.0,7.097228128990953,428.412,430.32
2024-05-28,429.63,430.82,426.6,430.32,15718000.0,63.07954801374562,415.8095,41428400.0,6.891596372571184,429.408,429.17
2024-05-29,425.69,430.94,425.69,429.17,15517100.0,61.53158618671312,417.80150000000003,25911300.0,6.774278320413399,429.434,414.67
2024-05-30,424.3,424.3,414.24,414.67,28424800.0,46.152733221334316,418.788,-2513500.0,7.3571120463941,426.264,415.13
2024-05-31,416.75,416.75,404.51,415.13,47995300.0,46.60863508792407,419.6525,45481800.0,7.706046626298082,423.89,413.52
2024-06-03,415.53,416.43,408.92,413.52,17484700.0,45.1672369455641,419.9955,27997100.0,7.6920374476656885,420.562,416.07
2024-06-04,412.43,416.44,409.68,416.07,14348900.0,47.914699216498036,420.122,42346000.0,7.625437527766595,417.712,424.01
2024-06-05,417.81,424.08,416.3,424.01,16988000.0,55.40711961310439,420.8555,59334000.0,7.6529161666442045,416.68,424.52
2024-06-06,424.01,425.31,420.58,424.52,14861300.0,55.846465728142284,421.5545,74195300.0,7.444066635267345,418.65,423.85
2024-06-07,426.2,426.28,423.0,423.85,13621700.0,55.078725221584996,422.131,60573600.0,7.14654096330783,420.39399999999995,427.87
2024-06-10,424.7,428.08,423.89,427.87,14003000.0,58.74349834749494,422.7875,74576600.0,6.938156553663904,423.264,432.68
2024-06-11,425.48,432.82,425.25,432.68,14551100.0,62.66796295379819,423.73549999999994,89127700.0,6.983300309261649,426.58600000000007,441.06
2024-06-12,435.32,443.4,433.25,441.06,22366200.0,68.32167685452382,424.9605,111493900.0,7.250273771264229,429.996,441.58
2024-06-13,440.85,443.39,439.37,441.58,15960600.0,68.63906098365982,425.88550000000004,127454500.0,7.01948667767812,433.408,442.57
2024-06-14,438.28,443.14,436.72,442.57,13582000.0,69.27030575632078,426.96450000000004,141036500.0,6.976657023913947,437.15199999999993,448.37
2024-06-17,442.59,450.94,440.72,448.37,20790000.0,72.73306673132387,428.37250000000006,161826500.0,7.208370480595182,441.25200000000007,446.34
2024-06-18,449.71,450.14,444.89,446.34,17112500.0,69.76971009491335,429.4225,144714000.0,7.0684610270262,443.98400000000004,445.7
2024-06-20,446.3,446.53,441.27,445.7,19877400.0,68.81774488270612,430.25550000000004,124836600.0,6.939263075405345,444.912,449.78
2024-06-21,447.38,450.58,446.51,449.78,34486200.0,71.48852827982172,431.21849999999995,159322800.0,6.792149420982392,446.552,447.67
2024-06-24,449.8,452.75,446.41,447.67,15913700.0,68.23363587766721,432.25199999999995,143409100.0,6.759848255827433,447.57199999999995,450.95
2024-06-25,448.25,451.42,446.75,450.95,16747500.0,70.48342741314217,433.2915,160156600.0,6.610552874249919,448.088,452.16
2024-06-26,449.0,453.6,448.19,452.16,16507000.0,71.29119440635674,434.3835,176663600.0,6.524788158912215,449.25199999999995,452.85
2024-06-27,452.18,456.17,451.77,452.85,14806300.0,71.76570458710982,435.5675,191469900.0,6.372999599528103,450.68199999999996,446.95
2024-06-28,453.07,455.38,446.41,446.95,28362300.0,62.285741360524014,437.18149999999997,163107600.0,6.5585200302716355,450.116,456.73
2024-07-01,448.66,457.37,445.66,456.73,17662800.0,69.48214120320895,439.26150000000007,180770400.0,6.926520464457647,451.928,459.28
2024-07-02,453.2,459.59,453.11,459.28,13979800.0,71.03410868106103,441.54949999999997,194750200.0,6.89462312095983,453.59399999999994,460.77
2024-07-03,458.19,461.02,457.88,460.77,9932800.0,71.93229459106966,443.78450000000004,204683000.0,6.6264121391709505,455.316,467.56
2024-07-05,459.61,468.35,458.97,467.56,16000300.0,75.63940426721112,445.962,220683300.0,6.82311306880134,458.258,466.24
2024-07-08,466.55,467.7,464.46,466.24,12962300.0,73.60414546998427,448.04799999999994,207721000.0,6.567156988650511,462.116,459.54
2024-07-09,467.0,467.33,458.0,459.54,17207200.0,64.16646612601969,449.8325,190513800.0,6.764516831476338,462.678,466.25
2024-07-10,461.22,466.46,458.86,466.25,18196100.0,68.51989554884055,451.7515,208709900.0,6.824198107529309,464.072,454.7
2024-07-11,462.98,464.78,451.55,454.7,23111200.0,55.925060640292095,452.8525000000001,185598700.0,7.386789583477735,462.858,453.55
2024-07-12,454.33,456.36,450.65,453.55,16324300.0,54.844108885627,453.477,169274400.0,7.267012138163038,460.05600000000004,453.96
2024-07-15,453.3,457.26,451.43,453.96,14429400.0,55.17674845107555,454.0959999999999,183703800.0,7.164363033884653,457.6,449.52
2024-07-16,454.22,454.3,446.66,449.52,17175700.0,50.8115339403086,454.4435,166528100.0,7.198338756457353,455.596,443.52
2024-07-17,442.59,444.85,439.18,443.52,21778000.0,45.56541882207208,454.201,144750100.0,7.422753272881329,451.05,440.37
2024-07-18,444.34,444.65,434.4,440.37,20794800.0,43.05228451487003,453.90250000000003,123955300.0,7.6247079426219395,448.184,437.11
2024-07-19,433.1,441.14,432.0,437.11,20940400.0,40.559067816887485,453.47299999999996,103014900.0,7.7329473073545,444.896,442.94
2024-07-22,441.79,444.6,438.91,442.94,15808800.0,46.52341763289419,453.13100000000003,118823700.0,7.7155933003245245,442.692,444.85
2024-07-23,443.9,448.39,443.1,444.85,13107100.0,48.35186163347044,452.99000000000007,131930800.0,7.553759769966115,441.758,428.9
2024-07-24,440.45,441.48,427.59,428.9,26805800.0,36.98069363275131,451.8875,105125000.0,8.247084274753185,438.834,418.4
